ID,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP
1,FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092
2,DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692
3,FDN15,17.5,Low Fat,0.016760075,Meat,141.618
4,FDX07,19.2,Regular,0.0,Fruits and Vegetables,182.095
5,NCD19,8.93,Low Fat,0.0,Household,53.8614
6,FDP36,10.395,Regular,0.0,Baking Goods,51.4008
7,FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588
8,FDP10,12.857645184135976,Low Fat,0.127469857,Snack Foods,107.7622
9,FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726
10,FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214
11,FDY07,11.8,Low Fat,0.0,Fruits and Vegetables,45.5402
12,FDA03,18.5,Regular,0.045463773,Dairy,144.1102
13,FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786
14,FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782
15,FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426
16,FDP49,9.0,Regular,0.069088961,Breakfast,56.3614
17,NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492
18,FDP49,9.0,Regular,0.069196376,Breakfast,54.3614
19,DRI11,12.857645184135976,Low Fat,0.034237682,Hard Drinks,113.2834
20,FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352
21,FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724
22,FDW12,12.857645184135976,Regular,0.035399923,Baking Goods,144.5444
23,NCB30,14.6,Low Fat,0.025698134,Household,196.5084
24,FDC37,12.857645184135976,Low Fat,0.057556998,Baking Goods,107.6938
25,FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021
26,NCD06,13.0,Low Fat,0.099887103,Household,45.906
27,FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112
28,DRJ59,11.65,low fat,0.019356132,Hard Drinks,39.1164
29,FDE51,5.925,Regular,0.161466534,Dairy,45.5086
30,FDC14,12.857645184135976,Regular,0.072221801,Canned,43.6454
31,FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956
32,NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436
33,FDP33,18.7,Low Fat,0.0,Snack Foods,256.6672
34,FDO23,17.85,Low Fat,0.0,Breads,93.1436
35,DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738
36,NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102
37,FDV20,12.857645184135976,Regular,0.059511812,Fruits and Vegetables,128.0678
38,DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388
39,FDX10,12.857645184135976,Regular,0.123111453,Snack Foods,36.9874
40,FDB34,12.857645184135976,Low Fat,0.026480954,Snack Foods,87.6198
41,FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352
42,FDK43,9.8,Low Fat,0.02681843,Meat,126.002
43,FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136
44,FDC02,21.35,Low Fat,0.069102831,Canned,259.9278
45,FDL50,12.15,Regular,0.042277867,Canned,126.5046
46,FDM39,6.42,LF,0.089498926,Dairy,178.1002
47,NCP05,19.6,Low Fat,0.0,Health and Hygiene,153.3024
48,FDV49,10.0,Low Fat,0.025879577,Canned,265.2226
49,FDL12,15.85,Regular,0.121632721,Baking Goods,60.622
50,FDS02,12.857645184135976,Regular,0.255394896,Dairy,196.8794
51,NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812
52,FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154
53,FDR13,9.895,Regular,0.028696932,Canned,117.0492
54,FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794
55,NCP18,12.15,Low Fat,0.028760013,Household,151.4708
56,FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408
57,NCX54,9.195,Low Fat,0.048157338,Household,106.1622
58,DRK35,8.365,Low Fat,0.071958197,Hard Drinks,38.0506
59,FDY21,15.1,Low Fat,0.173481304,Snack Foods,194.511
60,FDI26,12.857645184135976,Low Fat,0.061082177,Canned,180.0344
61,FDM20,10.0,Low Fat,0.0,Fruits and Vegetables,246.9144
62,FDV27,7.97,Regular,0.040071131,Meat,87.3514
63,FDF09,12.857645184135976,Low Fat,0.012090074,Fruits and Vegetables,38.2848
64,FDY40,12.857645184135976,Regular,0.15028599,Frozen Foods,51.0692
65,FDY45,12.857645184135976,Low Fat,0.026015519,Snack Foods,255.8356
