ID,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type
1,OUT049,1999,Medium,Tier 1,Supermarket Type1
2,OUT018,2009,Medium,Tier 3,Supermarket Type2
3,OUT049,1999,Medium,Tier 1,Supermarket Type1
4,OUT010,1998,Medium,Tier 3,Grocery Store
5,OUT013,1987,High,Tier 3,Supermarket Type1
6,OUT018,2009,Medium,Tier 3,Supermarket Type2
7,OUT013,1987,High,Tier 3,Supermarket Type1
8,OUT027,1985,Medium,Tier 3,Supermarket Type3
9,OUT045,2002,Medium,Tier 2,Supermarket Type1
10,OUT017,2007,Medium,Tier 2,Supermarket Type1
11,OUT049,1999,Medium,Tier 1,Supermarket Type1
12,OUT046,1997,Small,Tier 1,Supermarket Type1
13,OUT049,1999,Medium,Tier 1,Supermarket Type1
14,OUT046,1997,Small,Tier 1,Supermarket Type1
15,OUT013,1987,High,Tier 3,Supermarket Type1
16,OUT046,1997,Small,Tier 1,Supermarket Type1
17,OUT018,2009,Medium,Tier 3,Supermarket Type2
18,OUT049,1999,Medium,Tier 1,Supermarket Type1
19,OUT027,1985,Medium,Tier 3,Supermarket Type3
20,OUT035,2004,Small,Tier 2,Supermarket Type1
21,OUT013,1987,High,Tier 3,Supermarket Type1
22,OUT027,1985,Medium,Tier 3,Supermarket Type3
23,OUT035,2004,Small,Tier 2,Supermarket Type1
24,OUT019,1985,Small,Tier 1,Grocery Store
25,OUT046,1997,Small,Tier 1,Supermarket Type1
26,OUT017,2007,Medium,Tier 2,Supermarket Type1
27,OUT035,2004,Small,Tier 2,Supermarket Type1
28,OUT013,1987,High,Tier 3,Supermarket Type1
29,OUT010,1998,Medium,Tier 3,Grocery Store
30,OUT019,1985,Small,Tier 1,Grocery Store
31,OUT010,1998,Medium,Tier 3,Grocery Store
32,OUT018,2009,Medium,Tier 3,Supermarket Type2
33,OUT018,2009,Medium,Tier 3,Supermarket Type2
34,OUT045,2002,Medium,Tier 2,Supermarket Type1
35,OUT046,1997,Small,Tier 1,Supermarket Type1
36,OUT049,1999,Medium,Tier 1,Supermarket Type1
